Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 PEOPLE:People Occupant Count [](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 PEOPLE:People Total Heating Rate [W](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 LIGHTS:Lights Electric Power [W](TimeStep),THERMAL ZONE 1 189.1-2009 - OFFICE - CLOSEDOFFICE - CZ4-8 ELECTRIC EQUIPMENT:Electric Equipment Electric Power [W](TimeStep),THERMAL ZONE 1:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),THERMAL ZONE 1:Zone Windows Total Heat Gain Rate [W](TimeStep),THERMAL ZONE 1:Zone Windows Total Heat Loss Rate [W](TimeStep),SUB SURFACE 2:Surface Window Total Glazing Layers Absorbed Solar Radiation Rate [W](TimeStep),SUB SURFACE 2:Surface Window Total Glazing Layers Absorbed Shortwave Radiation Rate [W](TimeStep),SUB SURFACE 2:Surface Window Heat Gain Rate [W](TimeStep),SUB SURFACE 2:Surface Window Heat Loss Rate [W](TimeStep),SURFACE 2:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 3:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 4:Surface Outside Face Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 4:Surface Outside Face Solar Radiation Heat Gain Rate per Area [W/m2](TimeStep),SURFACE 4:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 5:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 1:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),SURFACE 6:Surface Inside Face Beam Solar Radiation Heat Gain Rate [W](TimeStep),THERMAL ZONE 1:Zone Mean Radiant Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep),THERMAL ZONE 1:Zone Operative Temperature [C](TimeStep),THERMAL ZONE 1:Zone Infiltration Sensible Heat Loss Energy [J](TimeStep),THERMAL ZONE 1:Zone Infiltration Sensible Heat Gain Energy [J](TimeStep),THERMAL ZONE 1:Zone Air System Sensible Heating Rate [W](TimeStep),THERMAL ZONE 1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),THERMAL ZONE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Heating Rate [W](TimeStep),THERMAL ZONE 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Sensible Cooling Rate [W](TimeStep) 
 02/22  00:05:00,-8.208333333,0,0,0,0,6,19.44,0,0,173.9788856,0,0,0,173.9788856,0,0,0,0,0,0,0,0,25.6332209,24.86834501,25.25078296,28355.17703,0,0,16,28,0,0
 02/22  00:10:00,-8.116666667,0,0,0,0,6,19.44,0,0,172.9119346,0,0,0,172.9119346,0,0,0,0,0,0,0,0,25.56640965,24.80449401,25.18545183,28210.78145,0,0,16,28,0,0
 02/22  00:15:00,-8.025,0,0,0,0,6,19.44,0,0,171.8518152,0,0,0,171.8518152,0,0,0,0,0,0,0,0,25.50009936,24.74201458,25.12105697,28067.67354,0,0,16,28,0,0
 02/22  00:20:00,-7.933333333,0,0,0,0,6,19.44,0,0,170.7970795,0,0,0,170.7970795,0,0,0,0,0,0,0,0,25.43429131,24.68030325,25.05729728,27925.3351,0,0,16,28,0,0
 02/22  00:25:00,-7.841666667,0,0,0,0,6,19.44,0,0,169.7464511,0,0,0,169.7464511,0,0,0,0,0,0,0,0,25.36895612,24.61904503,24.99400058,27783.49564,0,0,16,28,0,0
 02/22  00:30:00,-7.75,0,0,0,0,6,19.44,0,0,168.699189,0,0,0,168.699189,0,0,0,0,0,0,0,0,25.30406865,24.55816574,24.9311172,27642.0911,0,0,16,28,0,0
 02/22  00:35:00,-7.658333333,0,0,0,0,6,19.44,0,0,167.6550514,0,0,0,167.6550514,0,0,0,0,0,0,0,0,25.23961769,24.4976868,24.86865224,27501.13932,0,0,16,28,0,0
 02/22  00:40:00,-7.566666667,0,0,0,0,6,19.44,0,0,166.6140348,0,0,0,166.6140348,0,0,0,0,0,0,0,0,25.17560131,24.43763408,24.8066177,27360.66189,0,0,16,28,0,0
 02/22  00:45:00,-7.475,0,0,0,0,6,19.44,0,0,165.5761793,0,0,0,165.5761793,0,0,0,0,0,0,0,0,25.11202039,24.37801427,24.74501733,27220.66397,0,0,16,28,0,0
 02/22  00:50:00,-7.383333333,0,0,0,0,6,19.44,0,0,164.5414991,0,0,0,164.5414991,0,0,0,0,0,0,0,0,25.04887529,24.3188224,24.68384885,27081.14078,0,0,16,28,0,0
 02/22  00:55:00,-7.291666667,0,0,0,0,6,19.44,0,0,163.5099857,0,0,0,163.5099857,0,0,0,0,0,0,0,0,24.98616535,24.26005232,24.62310884,26942.0865,0,0,16,28,0,0
 02/22  01:00:00,-7.2,0,0,0,0,6,19.44,0,0,162.4816252,0,0,0,162.4816252,0,0,0,0,0,0,0,0,24.92388934,24.20170072,24.56279503,26803.49779,0,0,16,28,0,0
 02/22  01:05:00,-7.158333333,0,0,0,0,6,19.44,0,0,161.8521116,0,0,0,161.8521116,0,0,0,0,0,0,0,0,24.86111977,24.14294762,24.50203369,26711.04041,0,0,16,28,0,0
